Work Item Type,Title 1,Title 2,Title 3,Description
Epic,Epic 3 - Structured Departments And Population Generation,,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Make <code>department</code> a structured, mutable field and generate whole departments as bounded social clusters — legibly-distinct full personas with intra-department ties pre-wired and plausible inter-department ties — so The Water Cooler&#x27;s cast can grow as a persistent core plus a departmental periphery.</p><p><strong>Prototype estimate:</strong> replace free-text <code>department</code> with a catalog id, couple the existing employee generator with the persona-template archetypes, and generate the relationship graph at org scale.</p><p><strong>MVP estimate:</strong> department-flavored archetype generation, a tuned inter-department relationship graph, and coverage validation against the scenario-template library.</p><p><strong>Goal:</strong> Terrarium generates whole departments of legibly-distinct personas with pre-wired relationships
and a structured, mutable department field — the populated org the sim reveals and casts onto.</p><p><strong>Exit question:</strong> Can the studio generate a multi-department org of distinct people with a coherent relationship
graph, on a structured/mutable department field, that satisfies the scenario-template library?</p><p>Supply the cast-novelty engine the office-scale direction needs: a frozen small cast plateaus no matter how many scenario templates exist, so Terrarium must generate distinct departments of real people that the player meets as the office is revealed. Builds on the shipped Office Population Generator (department visual DNA) and the DRAFT persona-template model. Serves sim epic E39 and supplies the mutable <code>department</code> field the sim&#x27;s transfer (E41) needs.</p>"
Feature,,F3.1 - Structured And Mutable Department Field,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Replace today&#x27;s immutable free-text <code>department</code> with a structured catalog id that the sim can reassign at runtime (for transfers).</p><p><strong>Prototype estimate:</strong> change <code>identity.department</code> and <code>metadata.department</code> to a department catalog id; add a migration from free text; document mutability for the sim.</p><p><strong>MVP estimate:</strong> tooling that maintains referential integrity when a department is renamed or split.</p><p><strong>Goal:</strong> Make department a first-class, mutable, referencable property.</p><p><strong>Feature scope:</strong></p><ul><li><code>department</code> becomes a catalog id (referencing the Epic 2 catalog) on personas and generated employees.</li><li>Mutability documented so the sim&#x27;s transfer (E41) can reassign it.</li><li>A migration from existing free-text department values.</li><li>The cheap-insurance ordering note: land this when the scenario-template export (Epic 4) ships.</li></ul><p><strong>Done when:</strong></p><ul><li><code>department</code> is a structured catalog id on personas and generated employees.</li><li>Existing free-text values are migrated with no data loss.</li><li>The contract documents the field and its mutability.</li></ul><p><strong>Exit question:</strong></p><pre>Is department a structured, mutable catalog id with existing data migrated?</pre>"
User Story,,,S3.1.1 - Convert department To A Catalog Id,"<p><strong>User story:</strong></p><ul><li>As a Terrarium developer, I need <code>department</code> to be a catalog id (referencing the Epic 2 catalog) on personas and generated employees so it is structured rather than free text.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>identity.department</code> and <code>metadata.department</code> are catalog ids, not free text.</li><li>The contract documents the field type and a schema bump.</li><li>The field is declared mutable so the sim can reassign it (for transfers).</li></ul><p><strong>Dependencies:</strong></p><ul><li>F3.1.</li></ul>"
User Story,,,S3.1.2 - Migrate Existing Free-Text Department Values,"<p><strong>User story:</strong></p><ul><li>As a maintainer, I need existing free-text department values migrated to catalog ids so no data is lost when the field becomes structured.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A migration maps existing free-text values to catalog ids.</li><li>Unmapped values are reported, not dropped.</li><li>The migration is idempotent.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S3.1.1.</li></ul>"
Feature,,F3.2 - Department-Aware Persona Generation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Generate full personas (drives/traits/needs/axes) per department, not just visual DNA, by coupling the employee generator with the persona-template archetypes.</p><p><strong>Prototype estimate:</strong> wire <code>docs/persona-template-model.md</code> archetypes into the population generator so a generated department yields coherent, distinct full personas.</p><p><strong>MVP estimate:</strong> department archetype sets so a generated IT cohort reads differently from a Sales cohort.</p><p><strong>Goal:</strong> Produce legibly-distinct full personas per department at scale.</p><p><strong>Feature scope:</strong></p><ul><li>Promote the persona-template model from DRAFT and wire it to department generation.</li><li>Generated departments yield full personas, not just sprites + metadata.</li><li>Distinctiveness controls (trait/drive spread) so a cohort reads as specific people.</li><li>Decision: department-flavored archetypes vs. generic spread tagged by department.</li></ul><p><strong>Done when:</strong></p><ul><li>Generating a department yields coherent, legibly-distinct full personas.</li><li>The personas carry drives/traits/needs/axes, not just visual DNA.</li><li>The archetype-flavor decision is implemented and documented.</li></ul><p><strong>Exit question:</strong></p><pre>Does generating a department produce distinct full personas, not just visual DNA?</pre>"
User Story,,,S3.2.1 - Wire Persona Templates Into Population Generation,"<p><strong>User story:</strong></p><ul><li>As an author, I need the population generator to produce full personas (not just visual DNA) by using the persona-template archetypes so a generated department is real people.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Generating a department yields full personas with drives/traits/needs/axes.</li><li>The persona-template model is promoted from DRAFT and used by the generator.</li><li>Generation is deterministic for a given seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F3.1.</li></ul>"
User Story,,,S3.2.2 - Make Generated Cohorts Legibly Distinct,"<p><strong>User story:</strong></p><ul><li>As a player meeting a new department, I need its members to be legibly distinct so &quot;four new HR employees&quot; are real people, not reskins.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A generated cohort shows meaningful trait/drive spread, not near-duplicates.</li><li>The department-flavored-vs-generic-spread decision is implemented and documented.</li><li>Distinctiveness is measurable (e.g. a variety metric) and meets a threshold.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S3.2.1.</li></ul>"
Feature,,F3.3 - Relationship-Graph Generation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Populate the org&#x27;s relationship graph at scale — the cluster already knows itself, and plausible cross-department ties exist — reusing the existing any-to-any relationship model.</p><p><strong>Prototype estimate:</strong> generate intra-department ties (dense) and a plausible sparser inter-department graph using the relationship-type catalog and third-party coupling.</p><p><strong>MVP estimate:</strong> tunable graph shape (density, type mix) and seeded reproducibility.</p><p><strong>Goal:</strong> Give a generated org a coherent, plausible relationship graph.</p><p><strong>Feature scope:</strong></p><ul><li>Intra-department relationship generation (the cluster is pre-wired).</li><li>Plausible inter-department relationship generation.</li><li>Use of existing relationship types and third-party (jealousy) coupling; no new relationship model.</li><li>Determinism for a given seed.</li></ul><p><strong>Done when:</strong></p><ul><li>A generated org has dense intra-department ties and plausible inter-department ties.</li><li>The graph uses the existing relationship-type catalog.</li><li>Generation is deterministic for a fixed seed.</li></ul><p><strong>Exit question:</strong></p><pre>Does a generated org have a coherent intra- and inter-department relationship graph?</pre>"
User Story,,,S3.3.1 - Generate Intra-Department Relationships,"<p><strong>User story:</strong></p><ul><li>As the sim, I need each generated department pre-wired with internal relationships so a newly-revealed wing already knows itself.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Generated departments have dense, plausible internal ties using existing relationship types.</li><li>Ties include third-party (jealousy) coupling where relationship types declare it.</li><li>Generation is deterministic for a given seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F3.2.</li></ul>"
User Story,,,S3.3.2 - Generate Plausible Inter-Department Relationships,"<p><strong>User story:</strong></p><ul><li>As the cross-department casting layer, I need plausible ties across departments so cross-wing pairings have material to work with.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A sparser, plausible inter-department relationship graph is generated.</li><li>Graph shape (density, type mix) is tunable.</li><li>The combined graph uses only the existing relationship-type catalog.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S3.3.1.</li></ul>"
