Work Item Type,Title 1,Title 2,Title 3,Description
Epic,Epic 1 - Multi-Department Office Layout,,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Extend Terrarium&#x27;s office-layout generator from a single flat office (all non-manager cast in one cubicle-farm) to a multi-department organization — distinct department wings, per-department desks, and explicit connectivity between wings — so The Water Cooler can reveal the office wing by wing, spawn each department into its own space, and derive organizational distance.</p><p><strong>Prototype estimate:</strong> extend <code>src/core/layout.ts</code> and <code>office-layout.json</code> (§3.4) with department/wing grouping, per-wing desk anchors, and a wing-adjacency block, on the existing template set.</p><p><strong>MVP estimate:</strong> scalable multi-floor/composed footprints, the matching C# runtime-port parity, and golden-layout tests across all department configurations.</p><p><strong>Goal:</strong> Terrarium generates an office with distinct department wings, per-wing desks, and explicit
wing connectivity, exported in office-layout.json — the structural foundation the org chart,
population, and cross-department casting build on.</p><p><strong>Exit question:</strong> Can the studio generate and export a multi-department office — wings, per-wing desks, and
adjacency — that the sim can reveal wing by wing and measure distance across, without breaking
the single-office templates?</p><p>Make the authored office a multi-department organization rather than a single flat room set. This is the heaviest lift in the office-scale set and the structural foundation the org chart (Epic 2), population (Epic 3), and cross-department casting (Epic 4) build on. It serves sim epics E38 and E39 and supplies the spare desk capacity the sim&#x27;s transfer mechanic (E41) needs.</p>"
Feature,,F1.1 - Department Wing Grouping,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Introduce the department/wing as a first-class layout grouping so rooms belong to a department and a wing can be addressed as a unit.</p><p><strong>Prototype estimate:</strong> add a department grouping to the layout model and a <code>departmentId</code> on rooms (or a <code>wings[]</code> block) in <code>office-layout.json</code>, over the existing templates.</p><p><strong>MVP estimate:</strong> department-driven template composition where each wing is generated from a department profile.</p><p><strong>Goal:</strong> Make the office layout express which rooms form which department&#x27;s wing.</p><p><strong>Feature scope:</strong></p><ul><li>A department/wing grouping concept in the <code>layout.ts</code> model.</li><li><code>departmentId</code> per room (or an explicit <code>wings[]</code>/<code>roomGroups[]</code> block) in <code>office-layout.json</code>.</li><li>Backward-compatible default so existing single-office templates still export (one implicit wing).</li><li>A schema version bump documented in <code>CONTRACT.md</code> §7.</li></ul><p><strong>Done when:</strong></p><ul><li>A generated office groups its rooms under named departments in <code>office-layout.json</code>.</li><li>Existing single-office templates still export with no consumer-visible change.</li><li>The new grouping is additive and version-documented.</li></ul><p><strong>Exit question:</strong></p><pre>Does office-layout.json express department/wing grouping over rooms without breaking the single-office templates?</pre>"
User Story,,,S1.1.1 - Add Department/Wing Grouping To The Layout Model,"<p><strong>User story:</strong></p><ul><li>As a Terrarium developer, I need a department/wing grouping in the <code>layout.ts</code> model so rooms can belong to a department and a wing can be addressed as a unit.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The layout model represents a department/wing as a named group of rooms.</li><li>Every room resolves to exactly one wing (single-office offices map to one implicit wing).</li><li>The grouping is deterministic for a given template and seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>None.</li></ul>"
User Story,,,S1.1.2 - Emit Wing Grouping In office-layout.json,"<p><strong>User story:</strong></p><ul><li>As the sim consuming the export, I need wing grouping in <code>office-layout.json</code> so I can address departments and their rooms.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>office-layout.json</code> carries <code>departmentId</code> per room (or an explicit <code>wings[]</code>/<code>roomGroups[]</code> block).</li><li>The addition is additive; existing fields are unchanged.</li><li>The export round-trips: a generated office re-exports with identical wing grouping for a fixed seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S1.1.1.</li></ul>"
User Story,,,S1.1.3 - Preserve Single-Office Compatibility And Version The Schema,"<p><strong>User story:</strong></p><ul><li>As a maintainer, I need existing single-office templates to keep exporting unchanged so the grouping work does not regress the current pipeline.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Existing single-office templates export with one implicit wing and no consumer-visible change to prior fields.</li><li>The schema version is bumped and the change documented in <code>CONTRACT.md</code> §7.</li><li>Compositor/layout snapshot tests still pass for the single-office templates.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S1.1.2.</li></ul>"
Feature,,F1.2 - Per-Department Desk Anchors,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Generalize desk anchoring so each department seats its own people, instead of every desk living in one cubicle-farm — and leave headroom for agents transferred in later.</p><p><strong>Prototype estimate:</strong> resolve <code>desk:&lt;agentId&gt;</code> anchors within each wing&#x27;s seating area; add a small pool of unassigned desk anchors per wing.</p><p><strong>MVP estimate:</strong> dynamic anchor assignment that provisions a desk on demand when an agent joins or transfers into a wing.</p><p><strong>Goal:</strong> Seat each department&#x27;s cast in its own wing, with spare capacity for transfers.</p><p><strong>Feature scope:</strong></p><ul><li>Per-wing <code>desk:&lt;agentId&gt;</code> anchor resolution (generalize beyond cubicle-farm).</li><li>Deterministic desk ordering within a wing (preserve the seeded, reproducible contract).</li><li>Spare/unassigned desk anchors per wing so a later transfer has somewhere to sit (serves sim E41).</li><li>Anchor metadata identifying which wing/department a desk belongs to.</li></ul><p><strong>Done when:</strong></p><ul><li>Each department&#x27;s agents resolve to desks inside that department&#x27;s wing.</li><li>A generated wing exposes at least one spare desk anchor for later assignment.</li><li>Desk ordering stays deterministic for a given seed.</li></ul><p><strong>Exit question:</strong></p><pre>Do agents seat in their own department&#x27;s wing, with spare desk capacity exposed for transfers?</pre>"
User Story,,,S1.2.1 - Resolve Desk Anchors Within Each Wing,"<p><strong>User story:</strong></p><ul><li>As the sim binding agents to seats, I need <code>desk:&lt;agentId&gt;</code> anchors resolved inside each department&#x27;s wing so each department seats its own people.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>desk:&lt;agentId&gt;</code> anchors resolve within the wing the agent belongs to, not only in cubicle-farm.</li><li>Desk ordering within a wing is deterministic for a given seed.</li><li>Each desk anchor carries its wing/department identity in its metadata.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F1.1.</li></ul>"
User Story,,,S1.2.2 - Provision Spare Desk Capacity Per Wing,"<p><strong>User story:</strong></p><ul><li>As the sim&#x27;s transfer mechanic (E41), I need spare desk capacity in a wing so an agent transferred in later has somewhere to sit.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Each generated wing exposes at least one unassigned desk anchor.</li><li>Spare anchors are addressable so a later assignment can bind an agent to one.</li><li>Spare capacity does not break the deterministic desk ordering of assigned agents.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S1.2.1.</li></ul>"
User Story,,,S1.2.3 - Validate Desk Coverage Per Wing,"<p><strong>User story:</strong></p><ul><li>As an author, I need the studio to flag when a wing cannot seat its assigned cast so I catch capacity problems before export.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Validation fails (or warns) when a wing has fewer desks than assigned agents.</li><li>The message names the wing and the shortfall.</li><li>Validation passes for every shipped template at its default population.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S1.2.1.</li></ul>"
Feature,,F1.3 - Wing Connectivity Graph,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Emit how wings connect, so the sim can decide reveal order under fog-of-war and compute spatial distance between wings.</p><p><strong>Prototype estimate:</strong> derive a wing-adjacency graph from shared hallways/doorways and write it into <code>office-layout.json</code>.</p><p><strong>MVP estimate:</strong> weighted connectivity (walk cost between wings) feeding an organizational-distance metric.</p><p><strong>Goal:</strong> Make wing-to-wing connectivity an explicit, exported artifact.</p><p><strong>Feature scope:</strong></p><ul><li>A wing-adjacency/connectivity block in <code>office-layout.json</code>.</li><li>Derivation from the generated hallway/doorway topology.</li><li>A connectivity representation the sim can read as both reveal-order and distance input.</li></ul><p><strong>Done when:</strong></p><ul><li><code>office-layout.json</code> includes an explicit wing-connectivity graph.</li><li>Every wing is reachable from every other wing in the graph.</li><li>The connectivity matches the generated door/hallway topology.</li></ul><p><strong>Exit question:</strong></p><pre>Does the export describe wing connectivity well enough to drive both fog-of-war reveal order and distance?</pre>"
