Work Item Type,Title 1,Title 2,Title 3,Description
Epic,Epic 4 - Scenario-Template Export And Department-Aware Preconditions,,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Graduate <code>scenario-template.json</code> from authoring-only to a first-class exported and sim-consumed artifact, and extend the precondition vocabulary with department and organizational-distance terms — so cross-department scenarios can be cast and priced.</p><p><strong>Prototype estimate:</strong> export the existing <code>scenarioTemplate.ts</code> model as a consumed artifact (co-spec with the sim caster) and add department/distance precondition terms.</p><p><strong>MVP estimate:</strong> a full cross-department template library and a tuned distance-cost model shared with the sim.</p><p><strong>Goal:</strong> Terrarium exports scenario templates the sim consumes, with department- and distance-aware
preconditions, so cross-department pairings can be cast and priced.</p><p><strong>Exit question:</strong> Can a scenario template express and the sim consume a cross-department pairing, with the
precondition vocabulary kept one synchronized contract across tool and sim?</p><p>Cross-department scenarios are the payoff of office scale: a high role-precondition fit that happens to span wings, with payload scaling on compatibility and difficulty on organizational distance. That needs the sim to consume scenario templates (not just bound scenarios) and a precondition vocabulary that can talk about department and distance. This is a two-sided contract — keep it synchronized with the sim&#x27;s Scenario Loading / casting epics (E30 generalize, E34). Serves sim epic E40.</p>"
Feature,,F4.1 - Scenario-Template Export Artifact,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Turn <code>scenario-template.json</code> (authoring-only today, §3.8) into an exported artifact the sim&#x27;s runtime caster consumes, kept one contract across both sides.</p><p><strong>Prototype estimate:</strong> export the existing <code>scenarioTemplate.ts</code> model and co-specify the consumed format with the sim&#x27;s caster epic.</p><p><strong>MVP estimate:</strong> versioned template packages with validation parity between tool and sim.</p><p><strong>Goal:</strong> Make scenario templates a real cross-boundary artifact.</p><p><strong>Feature scope:</strong></p><ul><li>Export <code>scenario-template.json</code> as a first-class, sim-consumed artifact.</li><li>Co-specification with the sim&#x27;s Scenario Loading / casting epic (E30 generalize, E34) as one contract.</li><li>Promotion of <code>CONTRACT.md</code> §3.8 from authoring-only and activation of §5.7 (sim casting).</li></ul><p><strong>Done when:</strong></p><ul><li><code>scenario-template.json</code> is exported in a format the sim caster consumes.</li><li>The tool format and the sim caster are documented as one synchronized contract.</li><li>The contract sections (§3.8, §5.7) are updated.</li></ul><p><strong>Exit question:</strong></p><pre>Is scenario-template.json an exported, sim-consumed artifact under one synchronized contract?</pre>"
User Story,,,S4.1.1 - Export scenario-template.json As A Consumed Artifact,"<p><strong>User story:</strong></p><ul><li>As the sim&#x27;s runtime caster, I need <code>scenario-template.json</code> exported in a format I consume so templates can be cast at runtime, not only at authoring time.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The existing <code>scenarioTemplate.ts</code> model exports as <code>scenario-template.json</code> for sim consumption.</li><li><code>CONTRACT.md</code> §3.8 is promoted from authoring-only and §5.7 (sim casting) is activated.</li><li>The artifact is versioned with the package schema.</li></ul><p><strong>Dependencies:</strong></p><ul><li>None.</li></ul>"
User Story,,,S4.1.2 - Co-Specify One Synchronized Template Contract,"<p><strong>User story:</strong></p><ul><li>As both teams, I need the tool&#x27;s template format and the sim&#x27;s caster defined as one contract so the two sides cannot drift.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The template format is documented as a single contract shared with the sim&#x27;s casting epic (E30 generalize, E34).</li><li>Validation expectations are stated for both sides.</li><li>A drift check (or shared fixture) is identified.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S4.1.1.</li></ul>"
Feature,,F4.2 - Department-Aware Preconditions,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Extend the role-slot precondition vocabulary so a slot can require or forbid a department, or require two slots to be in different departments.</p><p><strong>Prototype estimate:</strong> add department-membership and same/different-department predicates to the precondition language and <code>castTemplate</code>/<code>validateScenarioTemplate</code>.</p><p><strong>MVP estimate:</strong> a richer department-relationship precondition set shared with the sim.</p><p><strong>Goal:</strong> Let a template express the core cross-wing pairing condition.</p><p><strong>Feature scope:</strong></p><ul><li>Department-membership preconditions (require/forbid a department on a slot).</li><li>A &quot;two slots in different departments&quot; predicate (the cross-wing pairing).</li><li>Support in <code>castTemplate</code> and <code>validateScenarioTemplate</code>.</li><li>Shared precondition vocabulary with the sim.</li></ul><p><strong>Done when:</strong></p><ul><li>A template can require slots in specific or different departments.</li><li>Casting and validation honor the new predicates.</li><li>The vocabulary is documented and shared with the sim.</li></ul><p><strong>Exit question:</strong></p><pre>Can a template require a cross-department pairing through the precondition vocabulary?</pre>"
User Story,,,S4.2.1 - Add Department-Membership Predicates,"<p><strong>User story:</strong></p><ul><li>As a template author, I need to require or forbid a department on a role slot so a scenario can target specific departments.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A role slot can require or forbid membership in a given department.</li><li><code>castTemplate</code> and <code>validateScenarioTemplate</code> honor the predicate.</li><li>The predicate is documented in the shared precondition vocabulary.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F4.1.</li></ul>"
User Story,,,S4.2.2 - Add A Different-Department Predicate,"<p><strong>User story:</strong></p><ul><li>As a template author, I need to require two slots be in different departments so I can express the core cross-wing pairing.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A predicate requires two slots resolve to different departments.</li><li>Casting rejects same-department fills for that predicate.</li><li>The predicate is shared and documented with the sim.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S4.2.1.</li></ul>"
Feature,,F4.3 - Organizational-Distance Preconditions,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Let a template express a distance condition or distance-scaled cost, consuming the distance signal from the layout (Epic 1) or org chart (Epic 2) per the structural-vs-spatial decision.</p><p><strong>Prototype estimate:</strong> add a distance predicate/cost term reading the wing-connectivity or org-chart distance.</p><p><strong>MVP estimate:</strong> a tuned distance-cost curve feeding the payload/difficulty trade.</p><p><strong>Goal:</strong> Make organizational distance expressible in a template.</p><p><strong>Feature scope:</strong></p><ul><li>A distance precondition/cost term in the template vocabulary.</li><li>Consumption of the distance signal (spatial from Epic 1, or structural from Epic 2 — per decision).</li><li>Resolution of the structural-vs-spatial distance decision, documented.</li></ul><p><strong>Done when:</strong></p><ul><li>A template can condition on or be priced by organizational distance.</li><li>The distance source (spatial/structural) is decided and wired.</li><li>Casting honors the distance term.</li></ul><p><strong>Exit question:</strong></p><pre>Can a template read organizational distance as a precondition or cost?</pre>"
User Story,,,S4.3.1 - Resolve The Distance Source Decision,"<p><strong>User story:</strong></p><ul><li>As both teams, I need the structural-vs-spatial distance decision resolved so the distance term reads a single agreed signal.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The decision (org-chart structural distance vs. layout spatial distance, or both) is recorded with rationale.</li><li>The chosen distance signal source is identified in Epic 1 (wing connectivity) or Epic 2 (org chart).</li><li>The decision is shared with the sim.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F4.2.</li></ul>"
User Story,,,S4.3.2 - Add A Distance Precondition/Cost Term,"<p><strong>User story:</strong></p><ul><li>As a template author, I need a distance condition or distance-scaled cost so cross-wing difficulty and payload track organizational distance.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A template can condition on, or be priced by, organizational distance.</li><li>The term reads the agreed distance signal from S4.3.1.</li><li>Casting honors the distance term.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S4.3.1.</li></ul>"
